FID,osm_id,code,fclass,name
0,30729986,2001,police,Airport Police Station
1,30730004,2004,post_box,DHL
2,30730082,2401,hotel,Eastoment Guest Lodge
3,30730090,2301,restaurant,Home Touch
4,30772867,2301,restaurant,Captain Hook's
5,30775717,2401,hotel,Airport View
6,30776330,2546,computer_shop,Accu Computers
7,30777529,2401,hotel,Continental Plaza
8,30777603,2301,restaurant,Palace Chinese
9,101447345,2002,fire_station,Ghana National Fire Service Headquarters
10,105456790,2601,bank,Absa
11,105457591,2601,bank,Standard Chartered
12,105476254,2302,fast_food,Papaye
13,105479527,2301,restaurant,Frankie's
14,105485619,2401,hotel,Penta Hotel
15,105488962,2011,embassy,Embassy of Denmark
16,105506934,2401,hotel,Coconut Grove Regency Hotel
17,105507471,2401,hotel,The new North Ridge Hotel
18,105789030,2401,hotel,Central Hotel
19,105793283,2301,restaurant,Monsoon - Food Court
20,107319420,2501,supermarket,Koala Shopping Centre
21,107538150,2201,theatre,National Theatre
22,224692077,2255,golf_course,Achimota Golf Club
23,224709514,2251,sports_centre,Tesano Sports Club
24,366632856,2401,hotel,Bora Bora
25,372584500,2082,school,Garrison Basic School
26,372806897,2082,school,Achimota Preparatory/Junior High School
27,372846625,2721,attraction,La Beach Resort
28,372847440,2304,pub,Next Door
29,373195045,2009,courthouse,Supreme Court of Ghana
30,373197654,2014,arts_centre,National Center for Arts and Culture of Ghana
31,373197654,2725,artwork,National Center for Arts and Culture of Ghana
32,373239152,2304,pub,Epo's Spot
33,373424300,2001,police,Achimota Police Station
34,388565621,2120,doctors,Hobats Clinic
35,392627877,2005,post_office,Cantonments Post Office
36,482263204,2011,embassy,Embassy of Togo
37,493756498,2505,department_store,Woolworth
38,493756509,2256,stadium,Polo Club
39,493756516,2501,supermarket,Shoprite
40,493766774,2005,post_office, 
41,567464494,2401,hotel,Golden Oyster
42,567464504,2602,atm, 
43,567464557,2542,bicycle_shop,Cheap Shop - Used spare parts
44,707100251,2303,cafe, 
45,707100255,2303,cafe,Labone Coffee Shop
46,738980919,2501,supermarket,Lava Market
47,775727818,2401,hotel,Oak Plaza Hotel East Airport
48,775727819,2301,restaurant,Buka Restaurant
49,1000064915,2082,school,Alpha Beta Christian College
50,1000064925,2001,police,Dansoman Police Station
51,1000064927,2501,supermarket,Dansoman Market
52,1119250350,2401,hotel,Crown Appartmento Hotel
53,1119273845,2401,hotel,Golden Tulip
54,1119273865,2301,restaurant,Mamma Mia
55,1133566054,2723,monument,Kwame Nkrumah Interchange
56,1136418824,2501,supermarket,Shoprite
57,1141411664,2011,embassy,Residence of the Ambassador of Iran
58,1141411668,2011,embassy,High Commission of the Federal Republic of Nigeria
59,1141411673,2011,embassy,High Commission of Malaysia
60,1144491349,2011,embassy,Residence of the Ambassador of Cuba
61,1144491358,2011,embassy,Residence of the Ambassador of the Republic of Angola
62,1144491386,2011,embassy,Embassy of Zimbabwe
63,1144491399,2011,embassy,Embassy of Cuba
64,1144491425,2011,embassy,Residence of the Ambassador of Russia
65,1151761364,2305,bar,Bloom Bar
66,1175333054,2401,hotel,Best Western Premier Airport Hotel
67,1175333078,2401,hotel,Airside Hotel
68,1175333219,2501,supermarket,Ridge Stop Over Supermarket
69,1175333238,2011,embassy,Residence of the Ambassador of the Federal Republic of Germany
70,1183555461,2501,supermarket,Maxmart Shopping Center
71,1191436170,2601,bank,GT Bank
72,1191436174,2601,bank,ProCredit
73,1191436193,2011,embassy,Sierra Leone High Commissioner
74,1191436208,2101,pharmacy,Worldview Pharmacy
75,1191436258,2011,embassy,Embassy of Spain - Economic and Commercial Office
76,1206246860,2401,hotel,Airport West Hotel
77,1206246956,2082,school,Fanida International School
78,1206246993,2401,hotel,Holiday Hotel
79,1207720467,2602,atm,SG-SSB
80,1207720478,2541,car_dealership,Mitsubishi
81,1207720484,2602,atm,SG-SSB (Societe Generale)
83,1213932510,2301,restaurant,DNR Turkish Cafe & Restaurant
84,1213932570,2401,hotel,Paloma Hotel
85,1213932600,2541,car_dealership,Toyota
86,1213932648,2526,toy_shop,Dejoy
87,1215470021,2541,car_dealership,Mercedes
88,1215470030,2401,hotel,Hotel Georgia Limited
89,1215470041,2541,car_dealership,Silver Star Auto LTD
90,1215470067,2401,hotel,M Plaza Hotel Accra
91,1215470069,2601,bank,Zenith Bank
92,1244717920,2082,school,Little Treasures Montessori School
93,1244717953,2011,embassy,Embassy of Sudan
94,1244717976,2546,computer_shop,Can-West Limited
95,1244717979,2011,embassy,Residence of the Ambassador of the Arab Republic of Egypt
96,1244717997,2011,embassy,Embassy of Saudi Arabia
97,1244718010,2401,hotel,Lavender Lodge
98,1244722693,2568,laundry,A & A Quick Clean
99,1250323225,2401,hotel,Airport Grande
100,1250323231,2101,pharmacy,Jinlet Pharmacy
101,1251736937,2101,pharmacy, 
102,1251736946,2101,pharmacy,Bedita Pharmacy Ltd.
103,1251736948,2101,pharmacy,Familycare Pharmacy
104,1251736949,2083,kindergarten,SACS Kindergarten
105,1251736950,2401,hotel,Joska Lodge Hotel
106,1251736956,2011,embassy,Residence of the Ambassador of the Republic of the Sudan
107,1251736958,2083,kindergarten,Angies Angels Montessori School
108,1251736959,2082,school,King of Kings International School
109,1251736962,2111,clinic,Chiropractic & Wellness Centres
110,1251736963,2401,hotel,Hill View Hotel
111,1251736964,2404,guesthouse,Sperifax Guest House
112,1251736965,2101,pharmacy, 
113,1269621640,2521,gift_shop,Wild Gecko
115,1270558373,2202,nightclub,Boomerang
116,1270558726,2082,school,Golden Age School
119,1270713533,2511,convenience,DSTv
120,1271565955,2401,hotel,Court Gardens
121,1271565957,2401,hotel,Holiday Inn
122,1276048666,2501,supermarket,Diplomatic Shop
123,1276048672,2011,embassy,Residence of the Ambassador of the Czech Republic
124,1276048691,2011,embassy,Embassy of Spain
125,1276048694,2011,embassy,Residence of the Ambassador of Italy
127,1276372969,2601,bank,ProCredit
128,1276372999,2601,bank,ProCredit
130,1276373051,2601,bank,Societe Generale Ghana
131,1276388996,2501,supermarket,Melcom Plus
132,1280783131,2404,guesthouse,Golden Lemon Guest House
133,1280783133,2401,hotel,Highgate Hotel
134,1280783157,2401,hotel,Ampax Hotel
136,1285191171,2016,market_place,European Fish Market
137,1285191266,2511,convenience,Rabena Korean Shop
138,1314917857,2120,doctors,Labone Clinic
139,1314922012,2401,hotel,Wangara Hotel
140,1323004855,2301,restaurant,Imperial Peking
141,1323004856,2401,hotel,Royal Rechester
142,1356937819,2401,hotel,Accra Central View Hotel
143,1356937824,2401,hotel,C'Est Si Bon Hotel and Restaurant
144,1356937838,2301,restaurant,The Lexiton
145,1356937844,2301,restaurant,Dez Amis
146,1356937858,2101,pharmacy,Health Shop Mini Mart
147,1356937868,2401,hotel,New Haven Hotel
148,1356937872,2601,bank,ProCredit
149,1356937919,2120,doctors,St. Bernhard Eye Clinic
150,1356985956,2602,atm,SG-SSB
151,1362200554,2011,embassy,Burkina Faso’s Ambassador’s Residence
152,1362200862,2404,guesthouse,SSA Guest House
153,1362200866,2301,restaurant,Tropical Taverna
154,1363133989,2301,restaurant,Zion Thai Restaurant
155,1364922549,2541,car_dealership,Africa Motors
156,1364922555,2601,bank,Ecobank
157,1364922557,2601,bank,Ghana Commercial Bank LTD
158,1364922558,2101,pharmacy,Jinlet Pharmacy
159,1364922599,2601,bank,UBA
160,1364922601,2601,bank,UBA
161,1364926007,2301,restaurant,Dynasty Chinese Restaurant
162,1367126737,2301,restaurant,Ghana Cocoa Board Club House
163,1368173150,2301,restaurant,La Chaumière
164,1368374819,2601,bank,Agricultural Development Bank
165,1368374827,2302,fast_food,Bus Stop Fast Food
166,1368374833,2404,guesthouse,City Centre Guest House
167,1368374848,2301,restaurant,De Gray
168,1368374851,2111,clinic,Dua Clinic
169,1368374852,2302,fast_food,Eddys Pizza and WichBurger
170,1368374853,2011,embassy,Embassy of Burkina Faso
171,1368374854,2005,post_office,FedEx
172,1368374868,2601,bank,Fidelity Bank
173,1368374869,2601,bank,First National
174,1368374870,2401,hotel,Gye Nyame Hotel
175,1368374881,2202,nightclub,Roxbury
176,1368374885,2525,mobile_phone_shop,Samsung
177,1368374887,2401,hotel,St Sam Hotel
178,1368374893,2601,bank,Standard Chartered
179,1375249823,2011,embassy,Austrian Consulate
180,1375249825,2011,embassy,Residence of the Ambassador of Ethiopia
181,1375249828,2083,kindergarten,Marchmont Child Development Centre
182,1376298394,2301,restaurant,Bailemen
183,1376298403,2301,restaurant,Bella Roma
184,1376298408,2401,hotel,Chez Lion Hotel
185,1376298414,2302,fast_food,Chicken Republic
186,1376298431,2401,hotel,El Elyon Hotel
187,1376298432,2401,hotel,Niagara Plus Hotel
188,1376298434,2301,restaurant,Noble House Chinese Restaurant
189,1376298439,2401,hotel,Nova Hotel
190,1378720129,2401,hotel,Adjosec Hotel
191,1378720220,2541,car_dealership,PHC Motors
192,1378720244,2401,hotel,Royal Dede Caesar Hotel
193,1382176457,2301,restaurant,Azmera
194,1382176458,2011,embassy,Embassy of Egypt
195,1382176459,2301,restaurant,Mandarin
196,1385353944,2404,guesthouse,Commodore Guest House
197,1385353948,2120,doctors,Eye Link Clinic
198,1385354329,2401,hotel,Rayporsh Hotel
199,1385354330,2401,hotel,Sparks Hotel
200,1385354332,2404,guesthouse,Tano Guest House
201,1390293363,2401,hotel,Alisa Hotel
202,1390293364,2401,hotel,Alisa Hotel Pegasus
203,1390293365,2546,computer_shop,Atlantic Group
204,1390293368,2601,bank,Absa
205,1390293370,2011,embassy,High Commission of Canada
206,1390293371,2005,post_office,DHL Head Office
207,1390293378,2011,embassy,Embassy of Germany - Main Building
208,1390293382,2501,supermarket,Makola Shoping Mail
209,1390293430,2011,embassy,Embassy of Niger
210,1390293432,2011,embassy,Embassy of the Netherlands
211,1390293433,2601,bank,Standard Chartered
212,1397912977,2541,car_dealership,Honda
213,1397912979,2541,car_dealership,Mechanical Lloyd Company Limited
214,1397913112,2601,bank,Sahel - Sahara Bank
215,1397913118,2601,bank,Standard Chartered
216,1397913126,2601,bank,Zenith Bank
217,1400185048,2601,bank,GT Bank
218,1400185051,2301,restaurant,Hin Lone
219,1400185055,2301,restaurant,Jokers
220,1400185060,2523,stationery,Kingdom Books & Stationery
221,1400185062,2301,restaurant, 
222,1400185066,2301,restaurant,Melting Moments
223,1405374103,2001,police,Ghana Police Service
224,1405374110,2541,car_dealership,Hyundai World
225,1405374114,2541,car_dealership,Nissan
226,1405374124,2111,clinic,Odorna Medical Center
227,1405374130,2541,car_dealership,Skoda
228,1405374140,2541,car_dealership,Universal Motors Limited
229,1417019958,2120,doctors,West African Rescue Association Head Office - WARA
230,1424638694,2401,hotel,G.S Plaza
231,1426161179,2120,doctors,OMNI Healthcare
232,1430899335,2303,cafe,D Cafe
233,1446318447,2544,furniture_shop,Furnart
234,1447876745,2011,embassy,High Commission of the United Kingdom of Great Britain and Northern Ireland
235,1449438298,2301,restaurant,Thai island
236,1490735330,2401,hotel,La Paradise Inn
237,1492883357,2501,supermarket,Game
238,1501642466,2566,bicycle_rental,Ghana Bike + Hiketours Aburi
239,1501642466,2542,bicycle_shop,Ghana Bike + Hiketours Aburi
240,1501642468,2401,hotel,Hillburi
241,1501644945,2401,hotel,ABG Guest House
242,1501644951,2301,restaurant,Rose Plot Restaurant
243,1508412429,2401,hotel,Little Acre Hotel
244,1508412431,2602,atm,SG-SSB
245,1517707503,2401,hotel,ASA Royal Hotel
246,1517707516,2521,gift_shop,ATAG Craft
247,1517707517,2401,hotel,Fair Gardens Hotel Ltd.
248,1517707519,2601,bank,Fidelity Bank
249,1517707522,2401,hotel,His Majesty's Hotel
250,1521313235,2512,clothes,Global Mamas
251,1535421290,2602,atm, 
252,1535421291,2602,atm, 
253,1536594203,2901,toilet, 
254,1540112617,2602,atm, 
255,1542171478,2301,restaurant,Toro Tapas Bar
256,1553895955,2405,hostel,Catters Hostel
257,1558153185,2302,fast_food,KFC Kentucky Fried Chicken
258,1574150773,2301,restaurant,Firefly Lounge Bar
