FID,osm_id,code,fclass,name
82,1212326493,2302,fast_food,Walkers extra large pizza
114,1270558192,2404,guesthouse,Quenn Victoria's Guest House
117,1270558809,2120,doctors,Sape Agbo Memorial Hospital
118,1270558824,2401,hotel,Ebony Hotel
126,1276372938,2601,bank,Ecobank
129,1276373016,2601,bank,Societe Generale Ghana
135,1280783185,2602,atm, 
414,2041823191,2301,restaurant,Las Palmas
417,2068210669,2129,veterinary,East Legon Veteinary Centre
418,2068210674,2601,bank,Ecobank
618,2711489919,2404,guesthouse,Omega guesthouse
623,2711610728,2404,guesthouse,DNA Guesthouse
651,2995452970,2601,bank,FT Global Group
703,3070233497,2501,supermarket,Night Market
704,3070233530,2082,school,Golden Mission Int. School
715,3073600507,2601,bank,Access Bank
717,3073604579,2601,bank,UBA - Abossey Okai
718,3073604697,2601,bank,Fidelity Bank
734,3095446419,2511,convenience, 
752,3109282498,2016,market_place,Odoornaa Market
759,3123797173,2601,bank,Fidelity Bank
778,3154426148,2016,market_place,Lapaz Street Market
790,3206073307,2601,bank,Absa
791,3206073309,2601,bank,adb (agricultural development bank)
802,3260711596,2401,hotel,Grand View Hotel
812,3415001090,2601,bank,Bank of Africa
862,3676307200,2082,school,Step-by-Step School
863,3676307201,2301,restaurant,Mr. Foods
967,3848970819,2082,school,Mount Zion Basic School Ltd
968,3896528505,2543,doityourself,More Power Showroom
970,3903316922,2561,hairdresser, 
971,3903316924,2301,restaurant, 
972,3903316932,2001,police, 
974,3914593750,2601,bank,GCB Bank
975,3950017300,2082,school,Dannaks Senior High School
976,3950017301,2601,bank,Ecobank
977,3950017302,2083,kindergarten,Five Star Preparatory School
978,3950017303,2083,kindergarten,Frelimart School
979,3950017304,2120,doctors,King David Hospital
980,3950017305,2082,school,Neupert School
982,3961469676,2082,school,Bright Brains Int. Academy
983,3961469678,2082,school,Dzokson Business College
984,3961469679,2601,bank,Ecobank
985,3961469680,2101,pharmacy,Ernest Chemists Ltd.
986,3961469681,2082,school,Jerusalem Basic School
987,3961469684,2082,school,Teacher Adam Memorial School
988,3961469686,2304,pub,Wembley Pub
993,3974505655,2601,bank,Zenith Bank
1255,4316803033,2082,school,Emando Memorial Int. School
1256,4316803036,2120,doctors,Midway Clinic Ltd.
1325,4378223390,2404,guesthouse,Oldswan Guesthouse
1395,4400511300,2505,department_store,Hisense Gh. Ltd.
1403,4411520096,2906,waste_basket, 
1418,4429993095,2111,clinic,Medical & Dental Council Ghana
1423,4430018890,2101,pharmacy,Pharmacy Council &National Drug
1467,4516622590,2101,pharmacy,Lesson Pharmacy
1475,4530629790,2030,recycling,Agbogbloshie E-waste Recycling Centre(EPA)
1489,4554919900,2101,pharmacy,Emporium Pharmacy
1539,4678136996,2601,bank,Energybank accra
1546,4693635291,2205,playground,Loso Park
1556,4707781689,2303,cafe, 
1698,4972894702,2601,bank,Societe General
1699,4972894703,2601,bank,adb
1702,4973907021,2522,sports_shop,Jubilee Sports
1722,4991168452,2501,supermarket,Melcom
1731,5005175758,2101,pharmacy,Tobinco Pharmaceuticals Limited
1734,5009999079,2601,bank,Bank of Africa
1735,5010001665,2601,bank,Prudential Bank
1736,5010002169,2601,bank,UniCredit Ghana Limited
1737,5010002691,2601,bank,First Atlantic Bank
1743,5016194216,2601,bank,UniCredit Ghana Limited
1791,5031340442,2546,computer_shop,Zidane Mega Systems
1795,5038666554,2601,bank,Ecobank
1798,5052248814,2303,cafe,Jamestown Café
1857,5118998922,2405,hostel,Crystal Hostel
1858,5119696821,2404,guesthouse,Malaikah Guest House
1867,5139449739,2601,bank,"Access Bank Ghana, Head Office"
1872,5139471416,2602,atm,GCB
1874,5139473656,2528,greengrocer,Who Knows Tomorrow
1876,5139474491,2529,beauty_shop,Meko
1877,5139474493,2301,restaurant,De'lish
1883,5150562245,2602,atm, 
1893,5199348276,2601,bank,Prudential Bank
1894,5199708816,2601,bank,GT Bank
1895,5199710726,2601,bank,Equity Savings and Loans
1896,5199759903,2111,clinic,Opmann Clinic
1897,5199760922,2101,pharmacy,Tedolex Pharmacy
1915,5209797472,2529,beauty_shop, 
1916,5209797473,2950,tower, 
1917,5209797474,2301,restaurant,Las Palmas
1918,5209797475,2601,bank,Societe General Ghana
1921,5209798043,2304,pub,McKay's Pub
1930,5209798222,2301,restaurant,McKay's Restaurant
1931,5209798223,2601,bank,CAL Bank
1978,5235962351,2302,fast_food,Obaapa Special Food
1979,5235962352,2564,car_wash, 
1989,5235963361,2601,bank,GN Bank
1990,5235963363,2401,hotel,Najinaram Crescent Lodge
1991,5235963364,2301,restaurant,FT Tawakalatu Allah Lah
1993,5235963521,2101,pharmacy,Rhamshiv Pharmacy
2020,5291947251,2016,market_place,Nima Market
2026,5300408284,2101,pharmacy,Solutions Pharmaceuticals Limited
2027,5300408285,2543,doityourself,Porcer Ghana Limited
2089,5468773050,2301,restaurant,Las Palmas - Abeka Branch
2090,5468773051,2304,pub,Sly Pentagon Spot
2091,5472288051,2951,comms_tower, 
2105,5488973722,2543,doityourself,Salome Oppong Ent
2106,5488985124,2543,doityourself,Kigee Entreprise
2107,5489021621,2543,doityourself,Chardina Entreprise
2161,5626517565,2525,mobile_phone_shop, 
2271,5717931866,2601,bank,Consolidated Bank Ghana
2295,5727975621,2101,pharmacy,Op Pharmacy
2352,5735687846,2564,car_wash, 
2360,5745405253,2601,bank,Consolidated Bank Ghana
2361,5745406781,2601,bank,Consolidated Bank Ghana
2362,5745406880,2404,guesthouse,Sue's Royal Cottage
2390,5751454669,2601,bank,Boston Premier Microfinance
2391,5751454670,2525,mobile_phone_shop,Godwin Phones
2394,5751506536,2543,doityourself,Laox Enterprise
2395,5751506634,2543,doityourself,Guster Ent
2472,5769830637,2564,car_wash,Kwame Jambo Car Wash
2474,5770202953,2013,nursing_home, 
2512,5792792325,2519,optician,The Optical Centre
2545,5824861235,2601,bank,Ecobank
2548,5825836356,2305,bar,Osu Beach Club
2602,5914511493,2304,pub,Splash Pleasure
2603,5915566164,2541,car_dealership, 
2605,5915584675,2401,hotel,Expo' 67
2606,5915587063,2950,tower, 
2621,5922393579,2511,convenience,Samanti Supermarket
2622,5922398024,2543,doityourself,Nana K. Gyasi
2623,5922413302,2401,hotel,Nivasi Hotel
2624,5922690392,2082,school,UPCO
2632,5928440065,2082,school,Moriah Development Development School
2634,5928601689,2561,hairdresser,King Jasper Barbering Salon
2635,5928601767,2561,hairdresser, 
2636,5928601768,2511,convenience, 
2640,5932276113,2082,school,Little Angels School
2641,5932276114,2302,fast_food,Target Fast Food
2642,5932581046,2082,school,St. Theresa of Avila School
2646,5940499694,2561,hairdresser,Atimeinga
2647,5940499807,2304,pub,King Bright's Pub
2648,5940499808,2561,hairdresser, 
2653,5954279788,2302,fast_food,Fufu and Fried Yam
2663,5955304725,2546,computer_shop,Data Appcom
2666,5956685479,2101,pharmacy,Septal
2676,5961158622,2518,beverages,Prinannins Ventures
2681,5963527663,2082,school,St. Thomas Preparatory School
2682,5963528280,2101,pharmacy,Nesta
2688,5965921810,2401,hotel,Eno Mirekua Hotel
2690,5966273764,2304,pub,Antarpong Spot
2694,5966273993,2529,beauty_shop,Trinity
2707,5971357876,2546,computer_shop,Digital Documents Services Limited
2708,5971360535,2523,stationery,Dorilad Enterprise
2709,5971361650,2302,fast_food,Dzifa Co. Kenkey
2712,5971553421,2515,bookshop,Dynamic Books
2718,5973040029,2304,pub,Kala's Pub
2724,5984907921,2005,post_office,Abeka Post Office
2725,5984944379,2568,laundry,Laundry and Dry Cleaners Service
2730,5988609526,2568,laundry,Credence Laundry
2741,5994355486,2964,water_works, 
2743,5995678331,2301,restaurant,Hajia No Size Restaurant
2745,5995998593,2951,comms_tower, 
2746,5995998594,2951,comms_tower, 
2747,5996157734,2951,comms_tower, 
2748,5996213988,2525,mobile_phone_shop,Agye God
2759,6007272344,2301,restaurant,Papaye Tesano (Apenkwa)
2762,6007704740,2503,kiosk, 
2767,6009358777,2561,hairdresser,US Hair Cut
2790,6039851298,2561,hairdresser,Zak's Cool Cut
2791,6039851301,2514,chemist, 
2823,6087413448,2082,school,Little Saints School
2835,6100969252,2301,restaurant,Mama Grace Corner
2839,6100970624,2083,kindergarten,St Gregory World of Kids
2845,6115657385,2101,pharmacy,1st Champions Pharmacy
2847,6117818558,2523,stationery,Delcam Books and Stationery
2848,6117826729,2546,computer_shop,DataPort Ghana Limited
2851,6125864590,2082,school,ARS Technical Senior High School
2855,6132175109,2101,pharmacy,Josly Pharmacy Limited
2888,6179373786,2512,clothes,WunZalgu FabriQs
2919,6215799885,2101,pharmacy,Hills Pharmacy
2920,6216253562,2304,pub,Deejewel Pub
2921,6216267709,2601,bank,Consolidated Bank Ghana
2922,6216389941,2302,fast_food,Bintu Fast Food
2927,6218840085,2101,pharmacy,Syrene Health Services
